"Região","Unidade da Federação","População"
"Brasil","","207.750.291"
"Região Norte","Rondônia","1.616.379"
"Região Norte","Acre","829.780"
"Região Norte","Amazonas","3.952.262"
"Região Norte","Roraima","634.805"
"Região Norte","Pará","8.442.962"
"Região Norte","Amapá","774.268"
"Região Norte","Tocantins","1.584.306"
"Região Nordeste","Maranhão","6.800.605"
"Região Nordeste","Piauí","3.270.174"
"Região Nordeste","Ceará","8.936.431"
"Região Nordeste","Rio Grande do Norte","3.303.953"
"Região Nordeste","Paraíba","4.030.961"
"Região Nordeste","Pernambuco","9.051.113"
"Região Nordeste","Alagoas","3.125.254"
"Região Nordeste","Sergipe","2.211.868"
"Região Nordeste","Bahia","14.659.023"
"Região Sudeste","Minas Gerais","20.732.660"
"Região Sudeste","Espírito Santo","3.975.100"
"Região Sudeste","Rio de Janeiro","16.615.526"
"Região Sudeste","São Paulo","46.024.937"
"Região Sul","Paraná","11.835.379"
"Região Sul","Santa Catarina","7.762.154"
"Região Sul","Rio Grande do Sul","11.088.065"
"Região Centro-Oeste","Mato Grosso do Sul","2.833.742"
"Região Centro-Oeste","Mato Grosso","3.784.239"
"Região Centro-Oeste","Goiás","6.950.976"
"Região Centro-Oeste","Distrito Federal","2.923.369"
